Node	Time	ID_Capacity_Buy_Volume
1	1	10.2
1	2	42.5
1	3	50.0
1	4	44.6
1	5	32.9
1	6	5.0
1	7	8.8
1	8	31.8
1	9	20.9
1	10	2.0
1	11	0.0
1	12	9.1
1	13	14.6
1	14	31.2
1	15	25.3
1	16	16.0
1	17	45.7
1	18	12.4
1	19	46.0
1	20	9.5
1	21	0.5
1	22	4.2
1	23	27.9
1	24	56.5
2	1	8.9
2	2	1.7
2	3	2.5
2	4	1.5
2	5	0.9
2	6	36.1
2	7	3.1
2	8	7.7
2	9	13.2
2	10	30.8
2	11	5.1
2	12	12.9
2	13	119.5
2	14	18.0
2	15	87.8
2	16	23.1
2	17	23.8
2	18	34.2
2	19	5.4
2	20	10.1
2	21	10.3
2	22	35.1
2	23	25.6
2	24	13.8
3	1	0.0
3	2	5.0
3	3	2.0
3	4	0.0
3	5	2.1
3	6	7.3
3	7	17.3
3	8	7.4
3	9	6.4
3	10	25.8
3	11	12.3
3	12	33.8
3	13	12.8
3	14	92.7
3	15	211.7
3	16	113.2
3	17	78.7
3	18	74.8
3	19	65.6
3	20	73.9
3	21	47.9
3	22	84.6
3	23	32.7
3	24	30.3
4	1	8.9
4	2	1.7
4	3	2.5
4	4	1.5
4	5	0.9
4	6	36.1
4	7	3.1
4	8	7.7
4	9	13.2
4	10	30.8
4	11	5.1
4	12	12.9
4	13	119.5
4	14	18.0
4	15	87.8
4	16	23.1
4	17	23.8
4	18	34.2
4	19	5.4
4	20	10.1
4	21	10.3
4	22	35.1
4	23	25.6
4	24	13.8
5	1	8.9
5	2	1.7
5	3	2.5
5	4	1.5
5	5	0.9
5	6	36.1
5	7	3.1
5	8	7.7
5	9	13.2
5	10	30.8
5	11	5.1
5	12	12.9
5	13	119.5
5	14	18.0
5	15	87.8
5	16	23.1
5	17	23.8
5	18	34.2
5	19	5.4
5	20	10.1
5	21	10.3
5	22	35.1
5	23	25.6
5	24	13.8
6	1	10.2
6	2	42.5
6	3	50.0
6	4	44.6
6	5	32.9
6	6	5.0
6	7	8.8
6	8	31.8
6	9	20.9
6	10	2.0
6	11	0.0
6	12	9.1
6	13	14.6
6	14	31.2
6	15	25.3
6	16	16.0
6	17	45.7
6	18	12.4
6	19	46.0
6	20	9.5
6	21	0.5
6	22	4.2
6	23	27.9
6	24	56.5
7	1	0.4
7	2	15.0
7	3	23.2
7	4	12.1
7	5	54.2
7	6	61.1
7	7	75.5
7	8	20.7
7	9	0.3
7	10	10.8
7	11	28.0
7	12	67.2
7	13	33.4
7	14	0.0
7	15	11.2
7	16	0.0
7	17	166.6
7	18	75.8
7	19	4.5
7	20	0.0
7	21	0.0
7	22	0.0
7	23	6.9
7	24	13.3
8	1	10.2
8	2	42.5
8	3	50.0
8	4	44.6
8	5	32.9
8	6	5.0
8	7	8.8
8	8	31.8
8	9	20.9
8	10	2.0
8	11	0.0
8	12	9.1
8	13	14.6
8	14	31.2
8	15	25.3
8	16	16.0
8	17	45.7
8	18	12.4
8	19	46.0
8	20	9.5
8	21	0.5
8	22	4.2
8	23	27.9
8	24	56.5
9	1	21.7
9	2	13.6
9	3	18.7
9	4	32.9
9	5	9.1
9	6	19.8
9	7	7.0
9	8	0.0
9	9	37.3
9	10	47.4
9	11	37.0
9	12	7.3
9	13	2.4
9	14	9.9
9	15	5.5
