Node	Time	Res_CapacityDownVolume
1	1	348.0
1	2	348.0
1	3	348.0
1	4	348.0
1	5	348.0
1	6	348.0
1	7	250.0
1	8	250.0
1	9	200.0
1	10	200.0
1	11	250.0
1	12	348.0
1	13	321.0
1	14	348.0
1	15	348.0
1	16	150.0
1	17	200.0
1	18	200.0
1	19	300.0
1	20	300.0
1	21	300.0
1	22	300.0
1	23	348.0
1	24	292.0
2	1	175.0
2	2	175.0
2	3	175.0
2	4	175.0
2	5	175.0
2	6	175.0
2	7	158.0
2	8	158.0
2	9	131.0
2	10	81.0
2	11	81.0
2	12	81.0
2	13	91.0
2	14	91.0
2	15	31.0
2	16	19.0
2	17	31.0
2	18	29.0
2	19	81.0
2	20	81.0
2	21	108.0
2	22	158.0
2	23	175.0
2	24	98.0
3	1	450.0
3	2	500.0
3	3	486.0
3	4	488.0
3	5	450.0
3	6	400.0
3	7	250.0
3	8	250.0
3	9	250.0
3	10	250.0
3	11	300.0
3	12	500.0
3	13	534.0
3	14	534.0
3	15	500.0
3	16	200.0
3	17	200.0
3	18	200.0
3	19	300.0
3	20	300.0
3	21	300.0
3	22	300.0
3	23	350.0
3	24	500.0
4	1	260.0
4	2	260.0
4	3	260.0
4	4	260.0
4	5	320.0
4	6	278.0
4	7	160.0
4	8	170.0
4	9	170.0
4	10	160.0
4	11	160.0
4	12	204.0
4	13	320.0
4	14	320.0
4	15	310.0
4	16	160.0
4	17	150.0
4	18	150.0
4	19	181.0
4	20	300.0
4	21	300.0
4	22	300.0
4	23	320.0
4	24	348.0
5	1	365.0
5	2	365.0
5	3	365.0
5	4	365.0
5	5	365.0
5	6	365.0
5	7	250.0
5	8	250.0
5	9	250.0
5	10	250.0
5	11	300.0
5	12	425.0
5	13	425.0
5	14	425.0
5	15	402.0
5	16	200.0
5	17	200.0
5	18	200.0
5	19	300.0
5	20	300.0
5	21	300.0
5	22	300.0
5	23	350.0
5	24	365.0
6	1	450.0
6	2	504.0
6	3	504.0
6	4	500.0
6	5	450.0
6	6	400.0
6	7	250.0
6	8	250.0
6	9	250.0
6	10	250.0
6	11	250.0
6	12	550.0
6	13	650.0
6	14	661.0
6	15	500.0
6	16	200.0
6	17	200.0
6	18	200.0
6	19	300.0
6	20	300.0
6	21	300.0
6	22	300.0
6	23	350.0
6	24	450.0
7	1	362.0
7	2	362.0
7	3	362.0
7	4	362.0
7	5	362.0
7	6	362.0
7	7	250.0
7	8	169.0
7	9	250.0
7	10	169.0
7	11	269.0
7	12	274.0
7	13	285.0
7	14	303.0
7	15	273.0
7	16	169.0
7	17	119.0
7	18	119.0
7	19	219.0
7	20	219.0
7	21	300.0
7	22	274.0
7	23	350.0
7	24	300.0
8	1	25.0
8	2	31.0
8	3	31.0
8	4	31.0
8	5	31.0
8	6	31.0
8	7	31.0
8	8	31.0
8	9	31.0
8	10	31.0
8	11	31.0
8	12	31.0
8	13	31.0
8	14	31.0
8	15	31.0
8	16	31.0
8	17	31.0
8	18	31.0
8	19	31.0
8	20	25.0
8	21	25.0
8	22	25.0
8	23	25.0
8	24	25.0
9	1	0.0
9	2	0.0
9	3	0.0
9	4	10.0
9	5	10.0
9	6	10.0
9	7	10.0
9	8	10.0
9	9	30.0
9	10	10.0
9	11	10.0
9	12	10.0
9	13	10.0
9	14	10.0
9	15	10.0
9	16	10.0
9	17	10.0
9	18	30.0
9	19	10.0
9	20	0.0
9	21	0.0
9	22	0.0
9	23	0.0
9	24	0.0
10	1	0.0
10	2	0.0
10	3	0.0
10	4	0.0
10	5	0.0
10	6	0.0
10	7	0.0
10	8	0.0
10	9	0.0
10	10	0.0
10	11	0.0
10	12	0.0
10	13	0.0
10	14	0.0
10	15	0.0
10	16	0.0
10	17	0.0
10	18	0.0
10	19	0.0
10	20	0.0
10	21	0.0
10	22	0.0
10	23	0.0
10	24	0.0
11	1	388.0
11	2	343.0
11	3	343.0
11	4	343.0
11	5	343.0
11	6	343.0
11	7	287.0
11	8	225.0
11	9	166.0
11	10	116.0
11	11	47.0
11	12	68.0
11	13	200.0
11	14	87.0
11	15	115.0
11	16	65.0
11	17	18.0
11	18	129.0
11	19	150.0
11	20	200.0
11	21	200.0
11	22	200.0
11	23	237.0
11	24	294.0
12	1	25.0
12	2	25.0
12	3	25.0
12	4	31.0
12	5	41.0
12	6	34.0
12	7	34.0
12	8	34.0
12	9	41.0
12	10	34.0
12	11	34.0
12	12	34.0
12	13	34.0
12	14	34.0
12	15	34.0
12	16	34.0
12	17	41.0
12	18	41.0
12	19	34.0
12	20	25.0
12	21	25.0
12	22	25.0
12	23	25.0
12	24	25.0
13	1	520.0
13	2	475.0
13	3	475.0
13	4	520.0
13	5	520.0
13	6	400.0
13	7	250.0
13	8	250.0
13	9	250.0
13	10	250.0
13	11	320.0
13	12	500.0
13	13	533.0
13	14	533.0
13	15	520.0
13	16	220.0
13	17	200.0
13	18	200.0
13	19	300.0
13	20	300.0
13	21	300.0
13	22	300.0
13	23	350.0
13	24	470.0
14	1	250.0
14	2	250.0
14	3	250.0
14	4	250.0
14	5	250.0
14	6	250.0
14	7	240.0
14	8	240.0
14	9	240.0
14	10	250.0
14	11	240.0
14	12	300.0
14	13	300.0
14	14	300.0
14	15	250.0
14	16	200.0
14	17	200.0
14	18	190.0
14	19	190.0
14	20	190.0
14	21	190.0
14	22	190.0
14	23	250.0
14	24	346.0
15	1	426.0
15	2	426.0
15	3	426.0
15	4	426.0
15	5	426.0
15	6	400.0
15	7	250.0
15	8	250.0
15	9	250.0
15	10	250.0
15	11	324.0
15	12	426.0
15	13	426.0
15	14	426.0
15	15	426.0
15	16	250.0
15	17	200.0
15	18	200.0
15	19	300.0
15	20	300.0
15	21	300.0
15	22	300.0
15	23	350.0
15	24	416.0
16	1	233.0
16	2	233.0
16	3	233.0
16	4	233.0
16	5	233.0
16	6	233.0
16	7	250.0
16	8	250.0
16	9	250.0
16	10	250.0
16	11	263.0
16	12	263.0
16	13	263.0
16	14	263.0
16	15	263.0
16	16	200.0
16	17	200.0
16	18	200.0
16	19	233.0
16	20	233.0
16	21	233.0
16	22	233.0
16	23	233.0
16	24	260.0
17	1	166.0
17	2	166.0
17	3	166.0
17	4	166.0
17	5	166.0
17	6	166.0
17	7	166.0
17	8	246.0
17	9	246.0
17	10	246.0
17	11	246.0
17	12	246.0
17	13	246.0
17	14	246.0
17	15	246.0
17	16	166.0
17	17	166.0
17	18	166.0
17	19	166.0
17	20	166.0
17	21	166.0
17	22	166.0
17	23	166.0
17	24	146.0
18	1	0.0
18	2	0.0
18	3	30.0
18	4	30.0
18	5	30.0
18	6	30.0
18	7	100.0
18	8	100.0
18	9	42.0
18	10	30.0
18	11	30.0
18	12	30.0
18	13	30.0
18	14	30.0
18	15	30.0
18	16	30.0
18	17	98.0
18	18	98.0
18	19	50.0
18	20	50.0
18	21	50.0
18	22	50.0
18	23	50.0
18	24	50.0
19	1	520.0
19	2	566.0
19	3	580.0
19	4	570.0
19	5	500.0
19	6	400.0
19	7	250.0
19	8	250.0
19	9	250.0
19	10	250.0
19	11	300.0
19	12	540.0
19	13	676.0
19	14	676.0
19	15	620.0
19	16	220.0
19	17	200.0
19	18	200.0
19	19	300.0
19	20	300.0
19	21	300.0
19	22	300.0
19	23	350.0
19	24	450.0
20	1	450.0
20	2	450.0
20	3	450.0
20	4	445.0
20	5	440.0
20	6	393.0
20	7	250.0
20	8	250.0
20	9	250.0
20	10	250.0
20	11	350.0
20	12	354.0
20	13	402.0
20	14	469.0
20	15	400.0
20	16	200.0
20	17	200.0
20	18	200.0
20	19	300.0
20	20	300.0
20	21	300.0
20	22	300.0
20	23	350.0
20	24	359.0
21	1	407.0
21	2	407.0
21	3	407.0
21	4	407.0
21	5	407.0
21	6	400.0
21	7	250.0
21	8	250.0
21	9	250.0
21	10	250.0
21	11	300.0
21	12	354.0
21	13	422.0
21	14	457.0
21	15	407.0
21	16	200.0
21	17	200.0
21	18	200.0
21	19	295.0
21	20	295.0
21	21	295.0
21	22	300.0
21	23	339.0
21	24	348.0
22	1	260.0
22	2	260.0
22	3	260.0
22	4	260.0
22	5	320.0
22	6	278.0
22	7	160.0
22	8	170.0
22	9	170.0
22	10	160.0
22	11	160.0
22	12	204.0
22	13	320.0
22	14	320.0
22	15	310.0
22	16	160.0
22	17	150.0
22	18	150.0
22	19	181.0
22	20	300.0
22	21	300.0
22	22	300.0
22	23	320.0
22	24	348.0
23	1	244.0
23	2	244.0
23	3	244.0
23	4	244.0
23	5	244.0
23	6	190.0
23	7	222.0
23	8	222.0
23	9	232.0
23	10	232.0
23	11	275.0
23	12	294.0
23	13	294.0
23	14	294.0
23	15	294.0
23	16	200.0
23	17	200.0
