Node	Time	Spot_Price
3	1	19.92
3	2	19.08
3	3	18.92
3	4	18.8
3	5	18.92
3	6	19.17
3	7	20.07
3	8	20.85
3	9	20.8
3	10	20.22
3	11	19.56
3	12	19.51
3	13	19.11
3	14	19.12
3	15	19.23
3	16	19.29
3	17	20.4
3	18	20.74
3	19	20.93
3	20	21.06
3	21	20.58
3	22	20.3
3	23	19.55
3	24	20.04
4	1	33.09
4	2	32.93
4	3	32.85
4	4	32.82
4	5	33.23
4	6	35.4
4	7	50.02
4	8	64.93
4	9	60.67
4	10	59.72
4	11	60.63
4	12	59.55
4	13	46.39
4	14	44.99
4	15	41.34
4	16	44.95
4	17	44.92
4	18	48.39
4	19	45.91
4	20	51.76
4	21	55.51
4	22	53.21
4	23	41.91
4	24	37.53
5	1	35.65
5	2	35.14
5	3	34.72
5	4	34.64
5	5	35.41
5	6	36.03
5	7	38.54
5	8	38.67
5	9	38.57
5	10	37.98
5	11	34.61
5	12	29.25
5	13	25.27
5	14	26.68
5	15	32.9
5	16	36.39
5	17	38.4
5	18	38.39
5	19	38.46
5	20	38.45
5	21	38.39
5	22	38.4
5	23	38.21
5	24	34.94
6	1	21.01
6	2	20.95
6	3	20.94
6	4	20.95
6	5	20.95
6	6	22.18
6	7	24.59
6	8	26.34
6	9	27.43
6	10	23.77
6	11	20.97
6	12	4.18
6	13	-1.7
6	14	-0.02
6	15	20.82
6	16	22.7
6	17	26.11
6	18	26.12
6	19	25.69
6	20	26.19
6	21	25.26
6	22	25.89
6	23	24.3
6	24	23.05
7	1	35.0
7	2	34.79
7	3	35.2
7	4	35.19
7	5	35.27
7	6	36.38
7	7	38.58
7	8	39.31
7	9	39.6
7	10	39.31
7	11	39.12
7	12	38.0
7	13	38.5
7	14	37.95
7	15	37.49
7	16	37.93
7	17	37.6
7	18	37.15
7	19	37.05
7	20	36.95
7	21	37.11
7	22	37.47
7	23	37.33
7	24	37.59
8	1	55.83
8	2	55.65
8	3	55.51
8	4	55.05
8	5	54.96
8	6	55.68
8	7	60.12
8	8	92.67
8	9	92.81
8	10	78.3
8	11	66.58
8	12	62.92
8	13	57.42
8	14	57.41
8	15	56.01
8	16	57.01
8	17	59.25
8	18	59.96
8	19	59.96
8	20	58.67
8	21	56.13
8	22	56.81
8	23	56.05
8	24	55.18
9	1	60.63
9	2	59.34
9	3	57.55
9	4	56.54
9	5	56.82
9	6	59.66
9	7	61.49
9	8	70.63
9	9	77.41
9	10	67.63
9	11	63.86
9	12	63.29
9	13	62.63
9	14	62.9
9	15	66.89
9	16	69.99
9	17	76.1
9	18	80.56
9	19	84.89
9	20	81.85
9	21	74.15
9	22	67.48
9	23	66.02
9	24	61.99
10	1	62.35
10	2	59.94
10	3	58.79
10	4	57.77
10	5	59.21
10	6	63.01
10	7	66.89
10	8	82.93
10	9	100.98
10	10	93.7
10	11	83.0
10	12	76.8
10	13	65.29
10	14	63.75
10	15	63.38
10	16	64.52
10	17	75.81
10	18	90.99
10	19	93.02
10	20	86.32
10	21	76.53
10	22	67.94
10	23	63.75
10	24	59.94
11	1	33.16
11	2	32.29
