Node	Time	ActivationDownPrice
3	1	19.92
3	2	19.08
3	3	18.92
3	4	18.8
3	5	18.92
3	6	19.17
3	7	20.07
3	8	20.0
3	9	20.0
3	10	20.22
3	11	19.56
3	12	19.51
3	13	19.11
3	14	19.12
3	15	19.23
3	16	19.29
3	17	20.4
3	18	20.74
3	19	20.93
3	20	21.06
3	21	20.58
3	22	20.3
3	23	19.55
3	24	20.04
4	1	28.0
4	2	28.0
4	3	28.0
4	4	28.0
4	5	28.0
4	6	35.4
4	7	50.02
4	8	34.0
4	9	30.0
4	10	30.0
4	11	30.5
4	12	59.55
4	13	46.39
4	14	42.0
4	15	41.34
4	16	44.95
4	17	44.92
4	18	48.39
4	19	45.91
4	20	51.76
4	21	55.51
4	22	30.0
4	23	30.0
4	24	31.0
5	1	35.65
5	2	35.14
5	3	34.72
5	4	34.64
5	5	35.41
5	6	36.03
5	7	38.54
5	8	38.67
5	9	35.5
5	10	25.0
5	11	20.0
5	12	20.0
5	13	15.0
5	14	23.0
5	15	10.0
5	16	17.0
5	17	25.0
5	18	29.0
5	19	29.0
5	20	38.45
5	21	38.39
5	22	30.0
5	23	26.0
5	24	34.94
6	1	10.0
6	2	8.5
6	3	8.5
6	4	8.5
6	5	12.0
6	6	22.18
6	7	24.59
6	8	26.34
6	9	17.5
6	10	13.0
6	11	12.0
6	12	0.0
6	13	-2.0
6	14	-2.0
6	15	13.0
6	16	13.0
6	17	26.11
6	18	26.12
6	19	25.69
6	20	26.19
6	21	25.26
6	22	25.89
6	23	24.3
6	24	23.05
7	1	35.0
7	2	34.79
7	3	35.2
7	4	29.0
7	5	29.0
7	6	36.38
7	7	38.58
7	8	39.31
7	9	39.6
7	10	35.0
7	11	34.0
7	12	38.0
7	13	33.5
7	14	28.0
7	15	25.0
7	16	25.0
7	17	32.0
7	18	37.15
7	19	37.05
7	20	36.95
7	21	37.11
7	22	37.47
7	23	34.5
7	24	37.59
8	1	51.0
8	2	50.0
8	3	48.0
8	4	46.0
8	5	46.0
8	6	46.0
8	7	47.0
8	8	51.5
8	9	51.5
8	10	56.0
8	11	66.58
8	12	62.92
8	13	57.42
8	14	57.41
8	15	56.01
8	16	57.01
8	17	59.25
8	18	59.96
8	19	59.96
8	20	58.67
8	21	56.13
8	22	56.81
8	23	56.05
8	24	55.18
9	1	60.63
9	2	59.34
9	3	57.55
9	4	56.54
9	5	56.82
9	6	59.66
9	7	61.49
9	8	70.63
9	9	62.0
9	10	62.5
9	11	63.86
9	12	63.29
9	13	62.63
9	14	58.53
9	15	59.0
9	16	62.0
9	17	76.1
9	18	80.56
9	19	84.89
9	20	81.85
9	21	74.15
9	22	67.48
9	23	66.02
9	24	61.99
10	1	62.35
10	2	59.94
10	3	58.79
10	4	57.77
10	5	59.21
10	6	63.01
10	7	66.89
10	8	82.93
10	9	100.98
10	10	93.7
10	11	83.0
10	12	76.8
10	13	65.29
10	14	63.75
10	15	63.38
10	16	64.52
10	17	75.81
10	18	90.99
10	19	93.02
10	20	86.32
10	21	76.53
10	22	67.94
10	23	63.75
10	24	59.94
11	1	33.16
11	2	32.29
