Node	Time	CapacityDownPrice
1	1	2.0
1	2	3.0
1	3	3.0
1	4	2.0
1	5	4.0
1	6	2.0
1	7	2.0
1	8	2.0
1	9	2.0
1	10	2.0
1	11	2.0
1	12	10.0
1	13	16.0
1	14	15.0
1	15	10.0
1	16	2.0
1	17	2.0
1	18	2.0
1	19	2.0
1	20	2.0
1	21	2.0
1	22	2.0
1	23	4.0
1	24	3.0
2	1	7.0
2	2	9.0
2	3	7.0
2	4	6.0
2	5	4.0
2	6	4.0
2	7	2.0
2	8	2.0
2	9	2.0
2	10	2.0
2	11	2.0
2	12	2.0
2	13	2.0
2	14	2.0
2	15	2.0
2	16	2.0
2	17	2.0
2	18	2.0
2	19	2.0
2	20	2.0
2	21	2.0
2	22	2.0
2	23	2.0
2	24	3.0
3	1	2.0
3	2	2.5
3	3	2.0
3	4	2.0
3	5	2.0
3	6	2.0
3	7	2.0
3	8	2.0
3	9	2.0
3	10	2.0
3	11	2.0
3	12	2.5
3	13	6.0
3	14	6.0
3	15	2.5
3	16	2.0
3	17	2.0
3	18	2.0
3	19	2.0
3	20	2.0
3	21	2.0
3	22	2.0
3	23	2.0
3	24	2.0
4	1	10.0
4	2	10.0
4	3	11.0
4	4	11.0
4	5	11.0
4	6	11.0
4	7	3.0
4	8	3.0
4	9	3.0
4	10	3.0
4	11	2.5
4	12	8.0
4	13	13.0
4	14	20.0
4	15	20.0
4	16	2.5
4	17	2.0
4	18	2.0
4	19	7.0
4	20	6.0
4	21	5.0
4	22	6.0
4	23	8.0
4	24	3.0
5	1	2.7
5	2	2.7
5	3	2.7
5	4	2.7
5	5	4.0
5	6	2.7
5	7	2.0
5	8	2.0
5	9	2.0
5	10	2.0
5	11	2.0
5	12	4.0
5	13	5.0
5	14	8.1
5	15	2.7
5	16	2.0
5	17	2.0
5	18	2.0
5	19	2.0
5	20	2.0
5	21	2.0
5	22	2.0
5	23	2.7
5	24	2.7
6	1	2.0
6	2	5.0
6	3	5.0
6	4	3.0
6	5	2.0
6	6	2.0
6	7	2.0
6	8	2.0
6	9	2.0
6	10	2.0
6	11	2.0
6	12	5.0
6	13	8.0
6	14	9.0
6	15	4.5
6	16	2.0
6	17	2.0
6	18	2.0
6	19	2.0
6	20	2.0
6	21	2.0
6	22	2.0
6	23	2.0
6	24	3.0
7	1	6.0
7	2	6.0
7	3	6.0
7	4	6.0
7	5	7.0
7	6	6.0
7	7	2.0
7	8	2.0
7	9	2.0
7	10	2.0
7	11	2.0
7	12	3.0
7	13	6.0
7	14	6.0
7	15	3.0
7	16	2.0
7	17	2.0
7	18	2.0
7	19	2.0
7	20	2.0
7	21	6.0
7	22	2.0
7	23	6.0
7	24	3.5
8	1	2.0
8	2	2.0
8	3	2.0
8	4	2.0
8	5	2.0
8	6	2.0
8	7	2.5
8	8	2.5
8	9	2.5
8	10	2.5
8	11	2.5
8	12	2.5
8	13	2.5
8	14	2.5
8	15	2.5
8	16	2.5
8	17	2.5
8	18	2.5
8	19	2.5
8	20	2.0
8	21	2.0
8	22	2.0
8	23	2.0
8	24	2.0
9	1	2.5
9	2	2.5
9	3	2.5
9	4	2.5
9	5	2.5
9	6	2.5
9	7	2.5
9	8	2.5
9	9	15.0
9	10	2.5
9	11	2.5
9	12	2.5
9	13	2.5
9	14	2.5
9	15	2.5
9	16	2.5
9	17	3.5
9	18	15.0
9	19	2.5
9	20	2.5
9	21	2.5
9	22	2.5
9	23	2.5
9	24	2.5
10	1	1.8
10	2	1.8
10	3	1.8
10	4	1.8
10	5	1.8
10	6	2.4
10	7	2.4
10	8	2.4
10	9	3.6
10	10	2.4
10	11	2.4
10	12	2.4
10	13	2.4
10	14	2.4
10	15	2.4
10	16	2.4
10	17	2.4
10	18	2.4
10	19	2.4
10	20	1.8
10	21	1.8
10	22	1.8
10	23	1.8
10	24	1.8
11	1	3.0
11	2	2.4
11	3	3.0
11	4	3.0
11	5	2.4
11	6	2.4
11	7	2.0
11	8	3.0
11	9	2.0
11	10	2.0
11	11	2.0
11	12	2.0
11	13	2.0
11	14	2.0
11	15	2.0
11	16	2.0
11	17	2.0
11	18	2.0
11	19	2.0
11	20	3.0
11	21	3.0
11	22	3.0
11	23	3.0
11	24	3.0
12	1	2.0
12	2	2.0
12	3	2.0
12	4	2.0
12	5	2.0
12	6	2.0
12	7	2.0
12	8	2.0
12	9	2.5
12	10	2.0
12	11	2.0
12	12	2.0
12	13	2.0
12	14	2.0
12	15	2.0
12	16	2.0
12	17	2.5
12	18	2.5
12	19	2.0
12	20	2.0
12	21	2.0
12	22	2.0
12	23	2.0
12	24	2.0
13	1	2.0
13	2	2.5
13	3	2.5
13	4	2.0
13	5	2.0
13	6	2.0
13	7	2.0
13	8	2.0
13	9	2.0
13	10	2.0
13	11	2.0
13	12	2.5
13	13	3.0
13	14	3.0
13	15	2.0
13	16	2.0
13	17	2.0
13	18	2.0
13	19	2.0
13	20	2.0
13	21	2.0
13	22	2.0
13	23	2.0
13	24	2.5
14	1	9.0
14	2	9.0
14	3	9.0
14	4	9.0
14	5	9.0
14	6	8.0
14	7	2.0
14	8	2.0
14	9	2.5
14	10	2.0
14	11	2.0
14	12	6.0
14	13	6.0
14	14	6.0
14	15	5.0
14	16	4.0
14	17	2.0
14	18	2.0
14	19	2.0
14	20	2.0
14	21	2.0
14	22	2.0
14	23	4.0
14	24	6.0
15	1	11.0
15	2	9.5
15	3	9.5
15	4	11.0
15	5	5.5
15	6	2.0
15	7	2.0
15	8	2.0
15	9	2.0
15	10	2.0
15	11	2.0
15	12	30.5
15	13	40.0
15	14	38.5
15	15	26.0
15	16	2.0
15	17	2.0
15	18	2.0
15	19	2.0
15	20	2.0
15	21	2.0
15	22	2.0
15	23	2.0
15	24	3.0
16	1	6.0
16	2	7.0
16	3	7.0
16	4	7.0
16	5	5.0
16	6	5.0
16	7	5.0
16	8	5.0
16	9	5.0
16	10	5.0
16	11	5.0
16	12	5.0
16	13	5.0
16	14	10.0
16	15	5.0
16	16	2.0
16	17	2.0
16	18	2.0
16	19	5.0
16	20	5.0
16	21	5.0
16	22	5.0
16	23	5.0
16	24	5.0
17	1	7.0
17	2	7.0
17	3	7.0
17	4	7.0
17	5	7.0
17	6	7.0
17	7	7.0
17	8	7.0
17	9	7.0
17	10	7.0
17	11	7.0
17	12	7.0
17	13	19.0
17	14	25.5
17	15	12.06
17	16	7.0
17	17	7.0
17	18	7.0
17	19	7.0
17	20	7.0
17	21	7.0
17	22	7.0
17	23	7.0
17	24	3.0
18	1	3.0
18	2	3.0
18	3	4.0
18	4	4.0
18	5	4.0
18	6	4.0
18	7	3.0
18	8	3.0
18	9	4.0
18	10	4.0
18	11	4.0
18	12	4.0
18	13	4.0
18	14	4.0
18	15	4.0
18	16	4.0
18	17	3.0
18	18	3.0
18	19	2.0
18	20	2.0
18	21	2.0
18	22	2.0
18	23	2.0
18	24	2.0
19	1	2.0
19	2	2.0
19	3	2.0
19	4	2.0
19	5	2.0
19	6	2.0
19	7	2.0
19	8	2.0
19	9	2.0
19	10	2.0
19	11	2.0
19	12	2.0
19	13	2.5
19	14	2.5
19	15	2.0
19	16	2.0
19	17	2.0
19	18	2.0
19	19	2.0
19	20	2.0
19	21	2.0
19	22	2.0
19	23	2.0
19	24	2.0
20	1	6.0
20	2	7.0
20	3	7.0
20	4	7.0
20	5	6.0
20	6	3.0
20	7	2.0
20	8	2.0
20	9	2.0
20	10	2.0
20	11	2.0
20	12	2.7
20	13	5.0
20	14	7.0
20	15	5.0
20	16	2.0
20	17	2.0
20	18	2.0
20	19	2.0
20	20	2.0
20	21	2.0
20	22	2.0
20	23	2.0
20	24	7.0
21	1	5.0
21	2	5.0
21	3	5.0
21	4	5.0
21	5	5.0
21	6	2.0
21	7	2.0
21	8	2.0
21	9	2.0
21	10	2.0
21	11	3.0
21	12	3.0
21	13	3.0
21	14	3.0
21	15	2.0
21	16	2.0
21	17	2.0
21	18	2.0
21	19	2.0
21	20	2.0
21	21	2.0
21	22	2.0
21	23	3.0
21	24	5.0
22	1	10.0
22	2	10.0
22	3	11.0
22	4	11.0
22	5	11.0
22	6	11.0
22	7	3.0
22	8	3.0
22	9	3.0
22	10	3.0
22	11	2.5
22	12	8.0
22	13	13.0
22	14	20.0
22	15	20.0
22	16	2.5
22	17	2.0
22	18	2.0
22	19	7.0
22	20	6.0
22	21	5.0
22	22	6.0
22	23	8.0
22	24	3.0
23	1	11.0
23	2	11.0
23	3	10.0
23	4	10.0
23	5	9.0
23	6	9.0
23	7	7.0
23	8	7.0
23	9	7.0
23	10	7.0
23	11	7.0
23	12	8.0
23	13	10.0
