Node	Time	CapacityUpPrice
1	1	2.0
1	2	2.0
1	3	2.0
1	4	2.0
1	5	4.0
1	6	14.0
1	7	46.0
1	8	44.0
1	9	24.0
1	10	18.0
1	11	12.0
1	12	10.0
1	13	8.0
1	14	8.0
1	15	5.0
1	16	8.0
1	17	10.0
1	18	28.0
1	19	35.12
1	20	33.0
1	21	31.0
1	22	31.0
1	23	8.0
1	24	4.4
2	1	3.0
2	2	2.0
2	3	2.0
2	4	3.0
2	5	4.0
2	6	40.0
2	7	82.0
2	8	93.0
2	9	100.0
2	10	94.0
2	11	92.0
2	12	81.0
2	13	82.0
2	14	90.0
2	15	101.0
2	16	108.0
2	17	125.0
2	18	126.0
2	19	114.0
2	20	104.0
2	21	88.0
2	22	48.0
2	23	21.0
2	24	20.9
3	1	3.0
3	2	3.0
3	3	3.0
3	4	3.0
3	5	6.0
3	6	16.5
3	7	43.0
3	8	44.0
3	9	19.5
3	10	16.39
3	11	15.5
3	12	8.5
3	13	4.5
3	14	4.5
3	15	4.5
3	16	8.5
3	17	16.14
3	18	18.56
3	19	44.0
3	20	43.0
3	21	22.0
3	22	21.0
3	23	16.31
3	24	2.0
4	1	2.0
4	2	2.0
4	3	2.0
4	4	2.0
4	5	3.0
4	6	46.6
4	7	43.0
4	8	44.0
4	9	29.57
4	10	20.0
4	11	14.0
4	12	10.0
4	13	19.0
4	14	13.0
4	15	9.0
4	16	12.0
4	17	14.0
4	18	39.6
4	19	53.6
4	20	53.6
4	21	46.6
4	22	46.6
4	23	11.0
4	24	5.0
5	1	2.0
5	2	2.0
5	3	2.0
5	4	2.0
5	5	6.0
5	6	15.3
5	7	27.0
5	8	21.6
5	9	14.4
5	10	11.7
5	11	8.1
5	12	7.0
5	13	4.5
5	14	4.0
5	15	4.0
5	16	4.0
5	17	5.0
5	18	7.0
5	19	19.8
5	20	19.8
5	21	19.8
5	22	18.9
5	23	5.0
5	24	3.6
6	1	2.0
6	2	2.0
6	3	2.0
6	4	2.0
6	5	2.0
6	6	4.5
6	7	20.26
6	8	7.0
6	9	6.0
6	10	15.5
6	11	8.5
6	12	7.5
6	13	4.5
6	14	4.5
6	15	4.5
6	16	3.0
6	17	3.0
6	18	4.5
6	19	33.52
6	20	37.56
6	21	37.56
6	22	4.5
6	23	2.0
6	24	2.0
7	1	2.0
7	2	2.0
7	3	2.0
7	4	2.0
7	5	6.0
7	6	17.0
7	7	50.0
7	8	43.0
7	9	38.0
7	10	47.0
7	11	37.0
7	12	8.0
7	13	6.0
7	14	6.0
7	15	6.0
7	16	6.0
7	17	12.0
7	18	32.0
7	19	43.0
7	20	50.0
7	21	70.0
7	22	70.0
7	23	12.0
7	24	2.5
8	1	7.0
8	2	5.5
8	3	5.0
8	4	5.0
8	5	5.5
8	6	9.0
8	7	16.5
8	8	39.5
8	9	47.0
8	10	43.5
8	11	28.5
8	12	21.0
8	13	18.5
8	14	18.24
8	15	19.0
8	16	20.5
8	17	30.5
8	18	43.0
8	19	42.5
8	20	42.0
8	21	34.0
8	22	16.0
8	23	10.0
8	24	7.5
9	1	5.0
9	2	5.0
9	3	4.5
9	4	4.5
9	5	4.5
9	6	7.0
9	7	11.0
9	8	25.5
9	9	31.5
9	10	25.5
9	11	24.0
9	12	18.5
9	13	14.0
9	14	13.5
9	15	13.5
9	16	17.0
9	17	19.0
9	18	34.0
9	19	30.5
9	20	25.5
9	21	19.0
9	22	10.52
9	23	7.0
9	24	6.0
10	1	2.4
10	2	2.4
10	3	2.4
10	4	3.0
10	5	2.4
10	6	3.0
10	7	12.0
10	8	26.4
10	9	30.6
10	10	31.0
10	11	21.0
10	12	15.0
10	13	12.6
10	14	12.6
10	15	12.0
10	16	15.0
10	17	19.8
10	18	32.4
10	19	34.0
10	20	34.0
10	21	19.2
10	22	12.0
10	23	6.0
10	24	3.6
11	1	23.51
11	2	8.0
11	3	8.0
11	4	3.0
11	5	8.0
11	6	11.0
11	7	36.0
11	8	66.6
11	9	69.6
11	10	64.2
11	11	58.0
11	12	16.2
11	13	12.0
11	14	8.0
11	15	24.0
11	16	29.4
11	17	10.0
11	18	8.4
11	19	23.0
11	20	20.4
11	21	16.2
11	22	13.8
11	23	10.8
11	24	8.0
12	1	2.0
12	2	2.0
12	3	2.0
12	4	2.0
12	5	2.0
12	6	3.0
12	7	7.5
12	8	20.9
12	9	21.5
12	10	20.0
12	11	18.0
12	12	13.0
12	13	11.0
12	14	12.0
12	15	12.0
12	16	14.0
12	17	17.0
12	18	32.0
12	19	30.5
12	20	25.0
12	21	11.0
12	22	7.0
12	23	5.0
12	24	3.5
13	1	2.0
13	2	2.0
13	3	2.0
13	4	2.0
13	5	8.5
13	6	18.0
13	7	50.0
13	8	43.0
13	9	35.0
13	10	18.7
13	11	16.0
13	12	16.0
13	13	6.0
13	14	5.0
13	15	5.0
13	16	8.5
13	17	13.5
13	18	22.0
13	19	37.0
13	20	43.0
13	21	35.0
13	22	43.0
13	23	16.5
13	24	2.0
14	1	2.0
14	2	2.0
14	3	2.0
14	4	2.0
14	5	3.5
14	6	16.0
14	7	57.5
14	8	54.0
14	9	36.54
14	10	16.0
14	11	26.0
14	12	28.0
14	13	8.99
14	14	5.0
14	15	4.5
14	16	6.0
14	17	10.5
14	18	18.0
14	19	56.87
14	20	61.0
14	21	72.0
14	22	23.0
14	23	24.13
14	24	3.5
15	1	2.0
15	2	2.0
15	3	2.0
15	4	2.0
15	5	3.5
15	6	7.5
15	7	13.0
15	8	13.0
15	9	12.0
15	10	8.5
15	11	7.5
15	12	7.5
15	13	5.0
15	14	4.0
15	15	4.0
15	16	5.0
15	17	5.0
15	18	8.5
15	19	9.5
15	20	9.5
15	21	9.5
15	22	8.5
15	23	5.0
15	24	3.0
16	1	2.0
16	2	2.0
16	3	2.0
16	4	2.0
16	5	7.0
16	6	20.0
16	7	34.0
16	8	36.0
16	9	34.0
16	10	28.0
16	11	23.0
16	12	11.0
16	13	6.0
16	14	5.0
16	15	6.0
16	16	5.0
16	17	5.0
16	18	11.04
16	19	36.0
16	20	36.0
16	21	34.0
16	22	28.0
